1~1-Dyn1~ ~1220~39709~65~183~57659~2174938~0
2~2-Dyn1~ ~1220~58671~125~38902~2200694~347978~0
3~3-Dyn3~ ~1220~39690~0~4~32879~39698~0
4~4-Dyn3~ ~1222~58627~1~1035~2054~99263~0
5~5-Dyn3~ ~1222~39605~0~38051~20126~80046~0
6~6-Dyn3~ ~1221~39678~0~60~34108~2183705~0
7~7~ ~1222~21659~7~39330~1229~61010~0
8~8~ ~1222~21659~0~39330~1222~61010~0
9~9-Dyn2~ ~1583~40446~0~38031~372740~183920~0
10~10-Dyn2~ ~1709~61483~77~1222~235567~344960~0
11~11~ ~0~0~0~0~0~0~0
12~12~ ~0~0~0~0~0~0~0
13~13~ ~22238~2961~38031~1286~2678771~4820061~0
14~14~ ~0~0~0~0~0~0~0
15~15-Dyn3~ ~1222~39301~106~73~2090344~71943~0
16~16-Dyn1~ ~1219~39957~2~60~202505~49753~0
17~17~ ~3025~25249~85~39257~123692~182780~0
18~18~UPS~0~22930~852~38478~852~61427~0
19~19~ ~0~0~0~0~0~0~0
20~20~ ~4~22928~0~39319~4~62252~0
21~21~ ~0~0~0~0~0~0~0
22~22~ ~0~0~0~0~0~0~0
23~23~ ~0~0~0~0~0~0~0
24~24~ ~0~21661~1~39329~5216814~3309506~0

